,Rank,Player,POS,Team,PosRank,AVGRank,AVGTier,Target,Sleeper
1,1,Ja'Marr Chase,WR,CIN,1,1,1,,
2,2,CeeDee Lamb,WR,DAL,2,3,1,,
3,3,Jahmyr Gibbs,RB,DET,1,3,1,yes,
4,4,Malik Nabers,WR,NYG,3,5,1,yes,
5,5,Bijan Robinson,RB,ATL,2,5.5,1,,
6,6,Justin Jefferson,WR,MIN,4,5.5,1,,
7,7,Saquon Barkley,RB,PHI,3,6.5,1,,
8,8,Brian Thomas,WR,JAC,5,7.5,1,,
9,9,Ashton Jeanty,RB,LV,4,9.5,1,,
10,10,Puka Nacua,WR,LAR,6,10.5,1,,
11,11,Christian McCaffrey,RB,SF,5,11.5,1,,
12,12,Nico Collins,WR,HOU,7,11.5,1,yes,
13,13,Amon-Ra St. Brown,WR,DET,8,13,1,,
14,14,De'Von Achane,RB,MIA,6,13,1,,
15,15,Drake London,WR,ATL,9,14,1,yes,
16,16,Brock Bowers,TE,LV,1,16,2,yes,
17,17,Chase Brown,RB,CIN,7,18,2,,
18,18,Bucky Irving,RB,TB,8,18.5,2,yes,
19,19,Jonathan Taylor,RB,IND,9,19,2,,
20,20,Derrick Henry,RB,BAL,10,19,2,,
21,21,Trey McBride,TE,ARI,2,22,2,,
22,22,Jaxon Smith-Njigba,WR,SEA,10,22,2,,
23,23,Ladd McConkey,WR,LAC,11,22.5,2,,
24,24,A.J. Brown,WR,PHI,12,23,2,,
25,25,Lamar Jackson,QB,BAL,1,26,2,yes,
26,26,Jayden Daniels,QB,WAS,2,26,2,yes,
27,27,Tyreek Hill,WR,MIA,13,26,2,,
28,28,Xavier Worthy,WR,KC,14,28,2,yes,
29,29,Tetairoa McMillan,WR,CAR,15,29,2,yes,
30,30,Tee Higgins,WR,CIN,16,30,2,,
31,31,Garrett Wilson,WR,NYJ,17,31,2,,
32,32,Omarion Hampton,RB,LAC,11,33.5,2,yes,
33,33,Josh Allen,QB,BUF,3,33.5,2,yes,
34,34,TreVeyon Henderson,RB,NE,12,34.5,2,yes,
35,35,DeVonta Smith,WR,PHI,18,36,3,,
36,36,Josh Jacobs,RB,GB,13,36.5,2,,
37,37,James Cook,RB,BUF,14,37,2,,
38,38,RJ Harvey,RB,DEN,15,37,3,,
39,39,Kenneth Walker III,RB,SEA,16,38,3,,
40,40,Travis Hunter,WR,JAC,19,39.5,3,,
41,41,Zay Flowers,WR,BAL,20,41,3,,
42,42,Breece Hall,RB,NYJ,17,42,3,,
43,43,George Kittle,TE,SF,3,42.5,3,,
44,44,Jameson Williams,WR,DET,21,43.5,3,,
45,45,George Pickens,WR,DAL,22,45,3,yes,
46,46,Jerry Jeudy,WR,CLE,23,46,3,yes,
47,47,Davante Adams,WR,LAR,24,46.5,3,,
48,48,Kyren Williams,RB,LAR,18,48,3,,
49,49,Jalen Hurts,QB,PHI,4,49,3,,
50,50,Marvin Harrison,WR,ARI,25,51,3,,
51,51,Alvin Kamara,RB,NO,19,51,3,,
52,52,Calvin Ridley,WR,TEN,26,52,3,,
53,53,Rashee Rice,WR,KC,27,52.5,3,yes,
54,54,Jaylen Waddle,WR,MIA,28,55,3,,
55,55,Courtland Sutton,WR,DEN,29,56,3,yes,
56,56,DJ Moore,WR,CHI,30,56.5,3,,
57,57,Terry McLaurin,WR,WAS,31,57.5,3,yes,
58,58,Jordan Addison,WR,MIN,32,58,3,,
59,59,Mike Evans,WR,TB,33,59,3,,
60,60,DK Metcalf,WR,PIT,34,60,3,,
61,61,Emeka Egbuka,WR,TB,35,60,3,yes,
62,62,Chuba Hubbard,RB,CAR,20,62,3,,
63,63,Joe Burrow,QB,CIN,5,63.5,3,,
64,64,Chris Olave,WR,NO,36,65,3,,
65,65,James Conner,RB,ARI,21,65.5,4,,
66,66,Tony Pollard,RB,TEN,22,67.5,4,,
67,67,Josh Downs,WR,IND,37,68,3,,
68,68,Sam LaPorta,TE,DET,4,68.5,4,,
69,69,Rome Odunze,WR,CHI,38,69,3,,
70,70,Tyrone Tracy,RB,NYG,23,70,4,yes,
71,71,D'Andre Swift,RB,CHI,24,71,4,,
72,72,Jayden Higgins,WR,HOU,39,73,4,,
73,73,Luther Burden,WR,CHI,40,75,4,yes,
74,74,Aaron Jones,RB,MIN,25,75,4,,
75,75,Matthew Golden,WR,GB,41,76,4,,
76,76,Zach Charbonnet,RB,SEA,26,76,4,,
77,77,Jordan Mason,RB,MIN,27,77,4,,
78,78,Isiah Pacheco,RB,KC,28,77.5,4,,
79,79,Jaylen Warren,RB,PIT,29,78,4,,
80,80,Kaleb Johnson,RB,PIT,30,79,4,,
81,81,David Montgomery,RB,DET,31,80,4,,
82,82,T.J. Hockenson,TE,MIN,5,81,4,,
83,83,Jayden Reed,WR,GB,42,83,4,,
84,84,Patrick Mahomes,QB,KC,6,84,4,,
85,85,Ricky Pearsall,WR,SF,43,84.5,4,yes,
86,86,Deebo Samuel,WR,WAS,44,85,5,,
87,87,Cam Skattebo,RB,NYG,32,88,5,yes,
88,88,Jaydon Blue,RB,DAL,33,88,5,yes,
89,89,Joe Mixon,RB,HOU,34,89,5,,
90,90,Jakobi Meyers,WR,LV,45,89,5,yes,
91,91,J.K. Dobbins,RB,FA,35,90,5,yes,
92,92,Michael Pittman Jr.,WR,IND,46,90.5,5,,
93,93,Khalil Shakir,WR,BUF,47,91,5,,
94,94,Justin Fields,QB,NYJ,7,93.5,5,,
95,95,Chris Godwin,WR,TB,48,95,5,,
96,96,Stefon Diggs,WR,NE,49,96.5,5,yes,
97,97,Bhayshul Tuten,RB,JAC,36,97.5,5,,
98,98,Trey Benson,RB,ARI,37,98,5,,
99,99,Bo Nix,QB,DEN,8,99,5,,
100,100,Jauan Jennings,WR,SF,50,101,5,,
101,101,Evan Engram,TE,DEN,6,102.5,5,,
102,102,Brandon Aiyuk,WR,SF,51,103.5,5,,
103,103,Drake Maye,QB,NE,9,104.5,5,,
104,104,Brian Robinson,RB,WAS,38,105.5,5,,
105,105,David Njoku,TE,CLE,7,105.5,5,,
106,106,Quinshon Judkins,RB,CLE,39,106.5,5,yes,
107,107,Kyler Murray,QB,ARI,10,107,5,,
108,108,Travis Etienne Jr.,RB,JAC,40,108,5,,
109,109,Jacory Croskey-Merritt,RB,WAS,41,110,5,yes,
110,110,Mark Andrews,TE,BAL,8,110.5,5,,
111,111,Keon Coleman,WR,BUF,52,112.5,5,yes,
112,112,Tucker Kraft,TE,GB,9,114,5,,
113,113,Caleb Williams,QB,CHI,11,115.5,5,,
114,114,Tyler Warren,TE,IND,10,116,5,yes,
