Player,Team,Bye,POS,ESPN,ADP,,NEW ADP
Ja'Marr Chase,CIN,10,WR1,1,1,,1
Bijan Robinson,ATL,5,RB1,2,2,,2
Justin Jefferson,MIN,6,WR2,3,3,,4
Saquon Barkley,PHI,9,RB2,4,4,,7
Jahmyr Gibbs,DET,8,RB3,5,5,,3
CeeDee Lamb,DAL,10,WR3,6,6,,5
Christian McCaffrey,SF,14,RB4,7,7,,8
Puka Nacua,LAR,8,WR4,8,8,,11
Malik Nabers,NYG,14,WR5,9,9,,6
Amon-Ra St. Brown,DET,8,WR6,10,10,,9
Ashton Jeanty,LV,8,RB5,11,11,,10
De'Von Achane,MIA,12,RB6,12,12,,20
Nico Collins,HOU,6,WR7,13,13,,12
Brian Thomas Jr.,JAC,8,WR8,14,14,,13
A.J. Brown,PHI,9,WR9,15,15,,24
Drake London,ATL,5,WR10,16,16,,14
Jonathan Taylor,IND,11,RB7,17,17,,19
Josh Jacobs,GB,5,RB8,18,18,,35
Derrick Henry,BAL,7,RB9,19,19,,18
Brock Bowers,LV,8,TE1,20,20,,15
Trey McBride,ARI,8,TE2,21,21,,22
Bucky Irving,TB,9,RB10,22,22,,16
Chase Brown,CIN,10,RB11,23,23,,17
Tee Higgins,CIN,10,WR11,24,24,,30
Tyreek Hill,MIA,12,WR12,25,25,,27
Ladd McConkey,LAC,12,WR13,26,26,,23
Davante Adams,LAR,8,WR14,27,27,,45
Josh Allen,BUF,7,QB1,28,28,,25
Lamar Jackson,BAL,7,QB2,29,29,,26
Jayden Daniels,WAS,12,QB3,30,30,,33
Jalen Hurts,PHI,9,QB4,31,31,,52
Kyren Williams,LAR,8,RB12,32,32,,49
James Cook,BUF,7,RB13,33,33,,36
Jaxon Smith-Njigba,SEA,8,WR15,34,34,,21
Terry McLaurin,WAS,12,WR16,35,35,,53
Garrett Wilson,NYJ,9,WR17,36,36,,31
Omarion Hampton,LAC,12,RB14,37,37,,32
Kenneth Walker III,SEA,8,RB15,38,38,,46
Joe Burrow,CIN,10,QB5,39,39,,54
George Kittle,SF,14,TE3,40,40,,48
Alvin Kamara,NO,11,RB16,41,41,,55
Chuba Hubbard,CAR,14,RB17,42,42,,
James Conner,ARI,8,RB18,43,43,,
TreVeyon Henderson,NE,14,RB19,44,44,,34
Mike Evans,TB,9,WR18,45,45,,56
Marvin Harrison Jr.,ARI,8,WR19,46,46,,50
Xavier Worthy,KC,10,WR20,47,47,,28
DK Metcalf,PIT,5,WR21,48,48,,
DJ Moore,CHI,5,WR22,49,49,,58
Rashee Rice,KC,10,WR23,50,50,,37
Breece Hall,NYJ,9,RB20,51,51,,
D'Andre Swift,CHI,5,RB21,52,52,,
Zay Flowers,BAL,7,WR24,53,53,,41
Courtland Sutton,DEN,12,WR25,54,54,,42
Calvin Ridley,TEN,10,WR26,55,55,,57
DeVonta Smith,PHI,9,WR27,56,56,,44
Jaylen Waddle,MIA,12,WR28,57,57,,
Jerry Jeudy,CLE,9,WR29,58,58,,43
Jameson Williams,DET,8,WR30,59,59,,40
George Pickens,DAL,10,WR31,60,60,,39
Sam LaPorta,DET,8,TE4,61,61,,
Patrick Mahomes,KC,10,QB6,62,62,,
Baker Mayfield,TB,9,QB7,63,63,,
Rome Odunze,CHI,5,WR32,64,64,,
Tetairoa McMillan,CAR,14,WR33,65,65,,29
Travis Hunter,JAC,8,WR34,66,66,,38
David Montgomery,DET,8,RB22,67,67,,
Aaron Jones,MIN,6,RB23,68,68,,
T.J. Hockenson,MIN,6,TE5,69,69,,
Tony Pollard,TEN,10,RB24,70,70,,
RJ Harvey,DEN,12,RB25,71,71,,47
Isiah Pacheco,KC,10,RB26,72,72,,
Chris Godwin,TB,9,WR35,73,73,,
Jakobi Meyers,LV,8,WR36,74,74,,
Chris Olave,NO,11,WR37,75,75,,
Matthew Golden,GB,5,WR38,76,76,,
Michael Pittman Jr.,IND,11,WR39,77,77,,
Cooper Kupp,SEA,8,WR40,78,78,,
Stefon Diggs,NE,14,WR41,79,79,,
Tyrone Tracy Jr.,NYG,14,RB27,80,80,,
Jaylen Warren,PIT,5,RB28,81,81,,
Kaleb Johnson,PIT,5,RB29,82,82,,
Travis Kelce,KC,10,TE6,83,83,,
David Njoku,CLE,9,TE7,84,84,,
Mark Andrews,BAL,7,TE8,85,85,,
Evan Engram,DEN,12,TE9,86,86,,
Bo Nix,DEN,12,QB8,87,87,,
Kyler Murray,ARI,8,QB9,88,88,,
Brock Purdy,SF,14,QB10,89,89,,
Joe Mixon,HOU,6,RB30,90,90,,
Quinshon Judkins,CLE,9,RB31,91,91,,
J.K. Dobbins,DEN,12,RB32,92,92,,
Rhamondre Stevenson,NE,14,RB33,93,93,,
Javonte Williams,DAL,10,RB34,94,94,,
Austin Ekeler,WAS,12,RB35,95,95,,
Jordan Addison,MIN,6,WR42,96,96,,
Khalil Shakir,BUF,7,WR43,97,97,,
Emeka Egbuka,TB,9,WR44,98,98,,
Jauan Jennings,SF,14,WR45,99,99,,
Deebo Samuel Sr.,WAS,12,WR46,100,100,,
Ricky Pearsall,SF,14,WR47,101,101,,
Keon Coleman,BUF,7,WR48,102,102,,
Justin Herbert,LAC,12,QB11,103,103,,
Caleb Williams,CHI,5,QB12,104,104,,
Dak Prescott,DAL,10,QB13,105,105,,
Justin Fields,NYJ,9,QB14,106,106,,
Jayden Reed,GB,5,WR49,107,107,,
Keenan Allen,LAC,12,WR50,108,108,,
Darnell Mooney,ATL,5,WR51,109,109,,
Josh Downs,IND,11,WR52,110,110,,
