"Player","Team","Bye","POS","Sleeper","ADP"
"Ja'Marr Chase","CIN","10","WR1","1","1"
"Saquon Barkley","PHI","9","RB1","2","2"
"Bijan Robinson","ATL","5","RB2","3","3"
"Justin Jefferson","MIN","6","WR2","4","4"
"Jahmyr Gibbs","DET","8","RB3","5","5"
"CeeDee Lamb","DAL","10","WR3","6","6"
"Amon-Ra St. Brown","DET","8","WR4","7","7"
"Derrick Henry","BAL","7","RB4","8","8"
"Puka Nacua","LAR","8","WR5","9","9"
"Malik Nabers","NYG","14","WR6","10","10"
"Ashton Jeanty","LV","8","RB5","11","11"
"Christian McCaffrey","SF","14","RB6","12","12"
"Nico Collins","HOU","6","WR7","13","13"
"De'Von Achane","MIA","12","RB7","14","14"
"Brian Thomas Jr.","JAC","8","WR8","15","15"
"Brock Bowers","LV","8","TE1","16","16"
"Drake London","ATL","5","WR9","17","17"
"A.J. Brown","PHI","9","WR10","18","18"
"Josh Jacobs","GB","5","RB8","19","19"
"Josh Allen","BUF","7","QB1","20","20"
"Bucky Irving","TB","9","RB9","21","21"
"Lamar Jackson","BAL","7","QB2","22","22"
"Jonathan Taylor","IND","11","RB10","23","23"
"Ladd McConkey","LAC","12","WR11","24","24"
"Tyreek Hill","MIA","12","WR12","25","25"
"Trey McBride","ARI","8","TE2","26","26"
"Kyren Williams","LAR","8","RB11","27","27"
"Chase Brown","CIN","10","RB12","28","28"
"Jaxon Smith-Njigba","SEA","8","WR13","29","29"
"Tee Higgins","CIN","10","WR14","30","30"
"Garrett Wilson","NYJ","9","WR15","31","31"
"Jayden Daniels","WAS","12","QB3","32","32"
"James Cook","BUF","7","RB13","33","33"
"Breece Hall","NYJ","9","RB14","34","34"
"Jalen Hurts","PHI","9","QB4","35","35"
"Marvin Harrison Jr.","ARI","8","WR16","36","36"
"George Kittle","SF","14","TE3","37","37"
"Mike Evans","TB","9","WR17","38","38"
"Alvin Kamara","NO","11","RB15","39","39"
"Joe Burrow","CIN","10","QB5","40","40"
"Omarion Hampton","LAC","12","RB16","41","41"
"Terry McLaurin","WAS","12","WR18","42","42"
"Davante Adams","LAR","8","WR19","43","43"
"Kenneth Walker III","SEA","8","RB17","44","44"
"DK Metcalf","PIT","5","WR20","45","45"
"Chuba Hubbard","CAR","14","RB18","46","46"
"Rashee Rice","KC","10","WR21","47","47"
"Sam LaPorta","DET","8","TE4","48","48"
"DJ Moore","CHI","5","WR22","49","49"
"James Conner","ARI","8","RB19","50","50"
"Courtland Sutton","DEN","12","WR23","51","51"
"Patrick Mahomes II","KC","10","QB6","52","52"
"DeVonta Smith","PHI","9","WR24","53","53"
"David Montgomery","DET","8","RB20","54","54"
"Xavier Worthy","KC","10","WR25","55","55"
"Zay Flowers","BAL","7","WR26","56","56"
"T.J. Hockenson","MIN","6","TE5","57","57"
"George Pickens","DAL","10","WR27","58","58"
"Tetairoa McMillan","CAR","14","WR28","59","59"
"Jameson Williams","DET","8","WR29","60","60"
"Isiah Pacheco","KC","10","RB21","61","61"
"TreVeyon Henderson","NE","14","RB22","62","62"
"Travis Kelce","KC","10","TE6","63","63"
"RJ Harvey","DEN","12","RB23","64","64"
"Joe Mixon","HOU","6","RB24","65","65"
"Travis Hunter","JAC","8","WR30","66","66"
"Baker Mayfield","TB","9","QB7","67","67"
"Jaylen Waddle","MIA","12","WR31","68","68"
"Aaron Jones Sr.","MIN","6","RB25","69","69"
"D'Andre Swift","CHI","5","RB26","70","70"
"Bo Nix","DEN","12","QB8","71","71"
"Calvin Ridley","TEN","10","WR32","72","72"
"Mark Andrews","BAL","7","TE7","73","73"
"Jerry Jeudy","CLE","9","WR33","74","74"
"Chris Olave","NO","11","WR34","75","75"
"Tony Pollard","TEN","10","RB27","76","76"
"Quinshon Judkins","CLE","9","RB28","77","77"
"Jordan Addison","MIN","6","WR35","78","78"
"Kaleb Johnson","PIT","5","RB29","79","79"
"Rome Odunze","CHI","5","WR36","80","80"
"Evan Engram","DEN","12","TE8","81","81"
"Jakobi Meyers","LV","8","WR37","82","82"
"Brian Robinson Jr.","WAS","12","RB30","83","83"
"Deebo Samuel Sr.","WAS","12","WR38","84","84"
"Cooper Kupp","SEA","8","WR39","85","85"
"David Njoku","CLE","9","TE9","86","86"
"Jared Goff","DET","8","QB9","87","87"
"Tyrone Tracy Jr.","NYG","14","RB31","88","88"
"Stefon Diggs","NE","14","WR40","89","89"
"Tyler Warren","IND","11","TE10","90","90"
"Khalil Shakir","BUF","7","WR41","91","91"
"Chris Godwin","TB","9","WR42","92","92"
"Travis Etienne Jr.","JAC","8","RB32","93","93"
"Kyler Murray","ARI","8","QB10","94","94"
"Matthew Golden","GB","5","WR43","95","95"
"Jaylen Warren","PIT","5","RB33","96","96"
"Philadelphia Eagles","DST","9","DST1","97","97"
"Jauan Jennings","SF","14","WR44","98","98"
"Cam Skattebo","NYG","14","RB34","99","99"
"Ricky Pearsall","SF","14","WR45","100","100"
"Emeka Egbuka","TB","9","WR46","101","101"
"Jonnu Smith","PIT","5","TE11","102","102"
"Justin Herbert","LAC","12","QB11","103","103"
